top - 01:17:43 up 1 day,  4:42,  1 user,  load average: 0,24, 1,16, 1,43
Tasks: 293 total,   3 running, 290 sleeping,   0 stopped,   0 zombie
%Cpu(s): 35,2 us,  5,6 sy,  0,0 ni, 59,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7817,7 total,    474,8 free,   3025,5 used,   4317,3 buff/cache
MiB Swap:   2048,0 total,   2041,9 free,      6,1 used.   3668,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    228 root      20   0       0      0      0 S   0,0   0,0   0:04.99 jbd2/sd+
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    269 root      19  -1   60028  28556  26740 S   0,0   0,4   0:02.72 systemd+
    292 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipmi-ms+
    302 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop0
    308 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop1
    314 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop2
    316 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop3
    324 root       0 -20       0      0      0 S   0,0   0,0   0:00.01 loop4
    329 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop5
    336 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop6
    342 root      20   0   25048   8156   3856 S   0,0   0,1   0:06.50 systemd+
    343 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop8
    344 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop9
    345 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop10
    347 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop12
    348 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop13
    349 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop14
    350 root       0 -20       0      0      0 S   0,0   0,0   0:00.05 loop15
    351 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop16
    352 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop17
    353 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop18
    354 root       0 -20       0      0      0 S   0,0   0,0   0:00.03 loop19
    355 root       0 -20       0      0      0 S   0,0   0,0   0:00.03 loop20
    356 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop21
    357 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop22
    358 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop23
    359 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop24
    360 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop25
    362 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop27
    365 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop30
    366 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop31
    367 root       0 -20       0      0      0 S   0,0   0,0   0:00.21 loop32
    368 root       0 -20       0      0      0 S   0,0   0,0   0:00.03 loop33
    369 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop34
    370 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop35
    371 root       0 -20       0      0      0 S   0,0   0,0   0:00.02 loop36
    453 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg80211
    455 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    528 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    529 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    530 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-c+
    535 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kmemsti+
    861 systemd+  20   0   24128  13348   9036 S   0,0   0,2   0:03.46 systemd+
    862 systemd+  20   0   90220   5772   4996 S   0,0   0,1   0:00.31 systemd+
    883 root      20   0  240816   7392   6516 S   0,0   0,1   0:02.36 account+
    884 root      20   0    2548    712    644 S   0,0   0,0   0:04.81 acpid
    887 avahi     20   0    8664   3676   3148 S   0,0   0,0   0:13.71 avahi-d+
    889 root      20   0   11952   2984   2716 S   0,0   0,0   0:00.16 cron
    891 message+  20   0   10028   6552   3816 S   0,0   0,1   0:13.16 dbus-da+
    892 root      20   0  551940  19552  15896 S   0,0   0,2   1:17.25 Network+
    918 root      20   0   81900   3544   3220 S   0,0   0,0   0:08.63 irqbala+
    919 root      20   0   42208  20236  11552 S   0,0   0,3   0:00.23 network+
    923 root      20   0  243896  11432   6748 S   0,0   0,1   0:04.37 polkitd
    925 syslog    20   0  224352   4836   3276 S   0,0   0,1   0:00.62 rsyslogd
    927 root      20   0 1317744  45284  20300 S   0,0   0,6   1:02.79 snapd
    928 root      20   0  238140   6020   5492 S   0,0   0,1   0:00.05 switche+
    932 root      20   0   16856   8112   6916 S   0,0   0,1   0:01.30 systemd+
    934 root      20   0  128800   8856   8028 S   0,0   0,1   0:51.89 thermald
    935 root      20   0  393612  13644   9880 S   0,0   0,2   0:10.72 udisksd
    937 root      20   0   14072   7916   7008 S   0,0   0,1   0:00.82 wpa_sup+
    943 avahi     20   0    8348    328      0 S   0,0   0,0   0:00.00 avahi-d+
   1111 root      20   0  120660  22504  14376 S   0,0   0,3   0:00.18 unatten+
   1146 root      20   0 1503504  47080  29260 S   0,0   0,6   0:19.80 contain+
   1203 root      20   0  240732  10676   8960 S   0,0   0,1   0:00.18 ModemMa+
   1244 root      20   0  242144   8516   7276 S   0,0   0,1   0:00.18 gdm3
   1335 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VB+
   1337 root      20   0       0      0      0 S   0,0   0,0   0:00.03 iprt-VB+
   2376 rtkit     21   1  152936   2836   2596 S   0,0   0,0   0:01.41 rtkit-d+
   2384 whoopsie  20   0  326856  14968  13024 S   0,0   0,2   0:00.54 whoopsie
   2403 kernoops  20   0   11260    436      0 S   0,0   0,0   0:04.99 kernelo+
   2407 kernoops  20   0   11260    448      0 S   0,0   0,0   0:05.01 kernelo+
   2801 root      20   0 1456548  72404  43868 S   0,0   0,9   0:19.06 dockerd
   3166 root      20   0  254868  10004   8608 S   0,0   0,1   0:06.76 upowerd
   4786 root      20   0    2496    576    512 S   0,0   0,0   0:00.00 bpfilte+
